disease,symptom,description,weight,precautions
typhoid,vomiting,"An acute illness characterized by fever caused by infection with the bacterium Salmonella typhi. Typhoid fever has an insidious onset, with fever, headache, constipation, malaise, chills, and muscle pain. Diarrhea is uncommon, and vomiting is not usually severe.",5,"['eat high calorie vegitables', 'antiboitic therapy', 'consult doctor', 'medication']"
typhoid,fatigue,"An acute illness characterized by fever caused by infection with the bacterium Salmonella typhi. Typhoid fever has an insidious onset, with fever, headache, constipation, malaise, chills, and muscle pain. Diarrhea is uncommon, and vomiting is not usually severe.",4,"['eat high calorie vegitables', 'antiboitic therapy', 'consult doctor', 'medication']"
typhoid,high_fever,"An acute illness characterized by fever caused by infection with the bacterium Salmonella typhi. Typhoid fever has an insidious onset, with fever, headache, constipation, malaise, chills, and muscle pain. Diarrhea is uncommon, and vomiting is not usually severe.",7,"['eat high calorie vegitables', 'antiboitic therapy', 'consult doctor', 'medication']"
typhoid,headache,"An acute illness characterized by fever caused by infection with the bacterium Salmonella typhi. Typhoid fever has an insidious onset, with fever, headache, constipation, malaise, chills, and muscle pain. Diarrhea is uncommon, and vomiting is not usually severe.",3,"['eat high calorie vegitables', 'antiboitic therapy', 'consult doctor', 'medication']"
typhoid,nausea,"An acute illness characterized by fever caused by infection with the bacterium Salmonella typhi. Typhoid fever has an insidious onset, with fever, headache, constipation, malaise, chills, and muscle pain. Diarrhea is uncommon, and vomiting is not usually severe.",5,"['eat high calorie vegitables', 'antiboitic therapy', 'consult doctor', 'medication']"
typhoid,constipation,"An acute illness characterized by fever caused by infection with the bacterium Salmonella typhi. Typhoid fever has an insidious onset, with fever, headache, constipation, malaise, chills, and muscle pain. Diarrhea is uncommon, and vomiting is not usually severe.",4,"['eat high calorie vegitables', 'antiboitic therapy', 'consult doctor', 'medication']"
typhoid,abdominal_pain,"An acute illness characterized by fever caused by infection with the bacterium Salmonella typhi. Typhoid fever has an insidious onset, with fever, headache, constipation, malaise, chills, and muscle pain. Diarrhea is uncommon, and vomiting is not usually severe.",4,"['eat high calorie vegitables', 'antiboitic therapy', 'consult doctor', 'medication']"
typhoid,diarrhoea,"An acute illness characterized by fever caused by infection with the bacterium Salmonella typhi. Typhoid fever has an insidious onset, with fever, headache, constipation, malaise, chills, and muscle pain. Diarrhea is uncommon, and vomiting is not usually severe.",6,"['eat high calorie vegitables', 'antiboitic therapy', 'consult doctor', 'medication']"
typhoid,toxic_look_(typhos),"An acute illness characterized by fever caused by infection with the bacterium Salmonella typhi. Typhoid fever has an insidious onset, with fever, headache, constipation, malaise, chills, and muscle pain. Diarrhea is uncommon, and vomiting is not usually severe.",5,"['eat high calorie vegitables', 'antiboitic therapy', 'consult doctor', 'medication']"
typhoid,belly_pain,"An acute illness characterized by fever caused by infection with the bacterium Salmonella typhi. Typhoid fever has an insidious onset, with fever, headache, constipation, malaise, chills, and muscle pain. Diarrhea is uncommon, and vomiting is not usually severe.",4,"['eat high calorie vegitables', 'antiboitic therapy', 'consult doctor', 'medication']"
urinary tract infection,burning_micturition,"Urinary tract infection: An infection of the kidney, ureter, bladder, or urethra. Abbreviated UTI. Not everyone with a UTI has symptoms, but common symptoms include a frequent urge to urinate and pain or burning when urinating.",6,"['drink plenty of water', 'increase vitamin c intake', 'drink cranberry juice', 'take probiotics']"
urinary tract infection,bladder_discomfort,"Urinary tract infection: An infection of the kidney, ureter, bladder, or urethra. Abbreviated UTI. Not everyone with a UTI has symptoms, but common symptoms include a frequent urge to urinate and pain or burning when urinating.",4,"['drink plenty of water', 'increase vitamin c intake', 'drink cranberry juice', 'take probiotics']"
urinary tract infection,foul_smell_of urine,"Urinary tract infection: An infection of the kidney, ureter, bladder, or urethra. Abbreviated UTI. Not everyone with a UTI has symptoms, but common symptoms include a frequent urge to urinate and pain or burning when urinating.",4.23,"['drink plenty of water', 'increase vitamin c intake', 'drink cranberry juice', 'take probiotics']"
urinary tract infection,continuous_feel_of_urine,"Urinary tract infection: An infection of the kidney, ureter, bladder, or urethra. Abbreviated UTI. Not everyone with a UTI has symptoms, but common symptoms include a frequent urge to urinate and pain or burning when urinating.",6,"['drink plenty of water', 'increase vitamin c intake', 'drink cranberry juice', 'take probiotics']"
varicose veins,fatigue,"A vein that has enlarged and twisted, often appearing as a bulging, blue blood vessel that is clearly visible through the skin. Varicose veins are most common in older adults, particularly women, and occur especially on the legs.",4,"['lie down flat and raise the leg high', 'use oinments', 'use vein compression', 'dont stand still for long']"
varicose veins,cramps,"A vein that has enlarged and twisted, often appearing as a bulging, blue blood vessel that is clearly visible through the skin. Varicose veins are most common in older adults, particularly women, and occur especially on the legs.",4,"['lie down flat and raise the leg high', 'use oinments', 'use vein compression', 'dont stand still for long']"
varicose veins,bruising,"A vein that has enlarged and twisted, often appearing as a bulging, blue blood vessel that is clearly visible through the skin. Varicose veins are most common in older adults, particularly women, and occur especially on the legs.",4,"['lie down flat and raise the leg high', 'use oinments', 'use vein compression', 'dont stand still for long']"
varicose veins,obesity,"A vein that has enlarged and twisted, often appearing as a bulging, blue blood vessel that is clearly visible through the skin. Varicose veins are most common in older adults, particularly women, and occur especially on the legs.",4,"['lie down flat and raise the leg high', 'use oinments', 'use vein compression', 'dont stand still for long']"
varicose veins,swollen_legs,"A vein that has enlarged and twisted, often appearing as a bulging, blue blood vessel that is clearly visible through the skin. Varicose veins are most common in older adults, particularly women, and occur especially on the legs.",5,"['lie down flat and raise the leg high', 'use oinments', 'use vein compression', 'dont stand still for long']"
varicose veins,swollen_blood_vessels,"A vein that has enlarged and twisted, often appearing as a bulging, blue blood vessel that is clearly visible through the skin. Varicose veins are most common in older adults, particularly women, and occur especially on the legs.",5,"['lie down flat and raise the leg high', 'use oinments', 'use vein compression', 'dont stand still for long']"
varicose veins,prominent_veins_on_calf,"A vein that has enlarged and twisted, often appearing as a bulging, blue blood vessel that is clearly visible through the skin. Varicose veins are most common in older adults, particularly women, and occur especially on the legs.",6,"['lie down flat and raise the leg high', 'use oinments', 'use vein compression', 'dont stand still for long']"
